first,sec
兰州理工大学,能源与动力工程学院
安康学院,经济与管理学院
重庆工商大学,管理学院
滇西应用技术大学,地理与科学学院
西安职业技术学院,建筑与轨道交通学院
重庆交通职业学院,土木建筑学院
黎明职业大学,土木建筑工程学院
宁夏大学,土木与水利工程学院
福州职业技术学院,建筑工程学院
重庆人文科技学院,工商学院
湖北工程职业学院,建筑与环境艺术学院
安徽审计职业学院,工程管理系
成都纺织高等专科学校,建筑工程学院
天津市建筑工程学校,建筑工程系
延边职业技术学院,建筑工程系
日照航海工程职业学院,建筑施工技术
贵州建设职业技术学院,建筑工程学院
信阳职业技术学院,建筑工程学院
西安科技大学,管理学院
武汉工程科技学院,信息工程学院
莱芜职业中等专业学校,建筑学院
广东省城市技师学院,工程造价
四川建筑职业技术学院,工程管理系
兰州资源环境职业技术学院,环境与化学学院
成都锦城学院,建筑学院
辽宁科技学院,资源与土木工程学院
钟山职业技术学院,数据管理与智能工程学院
郑州商贸旅游职业学院,建筑工程系
上海应用技术大学,城市建设与安全工程学院
克拉玛依职业技术学院,机械工程系
广西工业职业技术学院,建筑工程系
四川电力职业技术学院,水利水电与建筑工程系
江苏商贸职业学院,建筑工程与管理学院
西安欧亚学院,人居环境学院
河北工程技术学院,土木工程学院
上海市房地产学校,工程管理系
南宁职业技术学院,建筑工程学院
兰州工业学院,土木工程学院
湖北工程学院,土木工程学院
上海市建筑工程学校,经管教学部
西安培华学院,建筑与艺术设计学院
吉林省经济管理干部学院,建筑工程学院
成都艺术职业大学,建筑工程学院
广西电力职业技术学院,建筑工程系
郑州工业应用技术学院,建筑工程学院
广联达测试大学,师资培训部
广联达数字高校,师资培训部
青海大学,工程管理系
无锡汽车工程高等职业技术学校,建筑工程系
哈尔滨职业技术学院,建筑工程学院
江苏省连云港中等专业学校（连云港市高级技工学校/连云港市职教中心）,建筑工程系
江苏科技大学苏州理工学院,船舶与建筑工程学院
南阳理工学院,土木工程学院
广州现代信息工程职业技术学院,建筑与艺术学院
湛江科技学院,土木工程系
广西职业技术学院,艺术传媒与建筑工程学院
厦门工学院,建筑与土木工程学院
佛山市华材职业技术学校,建筑工程学院
湖南建筑高级技工学校,管理工程专业科
昌吉职业技术学院,建工分院
天津大学,经济管理学院
南通开放大学（南通市广播电视大学）,建筑工程学院
西京学院,土木工程学院
赤峰建筑工程学校,工程管理系
包头铁道职业技术学院,建筑工程系
内蒙古农业大学职业技术学院,建筑工程系
内蒙古建筑职业技术学院,工程管理学院
河套学院,土木工程系
广西现代职业技术学院,建筑工程系
辽宁建筑职业学院,工程管理学院
南通科技职业学院,经济贸易与管理系
淮南职业技术学院,工程管理系
广西经济职业学院,建筑工程系
黄冈职业技术学院,建筑学院
黄河科技学院,建筑工程学院
安徽城市管理职业学院,城市建设学院
安徽工业职业技术学院,资源开发系
郑州轻工业大学,环境工程学院
阜阳师范大学信息工程学院,经济管理系
泸州技师学院/泸州职业技术学院,建筑工程学院
南京工业大学,经济与管理学院
河北工业职业技术学院,建筑工程系
郑州电力高等专科学校,动力工程学院
河南理工大学,土木工程学院
河北能源职业技术学院,矿产资源与建筑工程系
华北理工大学轻工学院,建筑工程学院
苏州建设交通高等职业技术学校,建筑工程系
广联达测试大学,云南
林州建筑职业技术学院,智能建造系
宣城职业技术学院,建筑艺术系
吉林工商学院,工商管理学院
东北石油大学,经济管理学院
辽宁建筑职业学院,建筑经济学院
阜新高等专科学校,公路与建筑工程系
四川国际标榜职业学院,商学院
黄淮学院,建筑工程学院
河南应用技术职业学院,建筑工程学院
许昌职业技术学院,建筑工程学院
安徽建设学校,城市管理系
白城职业技术学院,建筑工程系
上海思博职业技术学院,建筑工程与管理学院
漯河职业技术学院,建筑工程学院
辽宁理工学院,管理工程学院
运城市财经学校,会计系
连云港职业技术学院,建筑工程学院
启东市第二中等专业学校,建筑系
中国矿业大学徐海学院,建筑工程系
中国矿业大学,力学与土木工程学院
扬州工业职业技术学院,建筑工程学院
南京城市职业学院,工程与信息学院
运城职业技术大学,建筑工程系
山西应用科技学院,建工学院
青岛农业大学海都学院,工程系
青岛市房地产职业中等专业学校,工程造价
山东商务职业学院,建筑工程系
上海市城市建设工程学校（上海市园林学校）,建筑工程造价
浙江广厦建设职业技术大学,建筑工程学院
广东工程职业技术学院,建筑工程学院
南京交通职业技术学院,建筑工程学院
江苏城乡建设职业学院,设备工程系
襄阳职业技术学院,建筑工程学院
北京经济管理职业学院,信息学院
临沂大学,土木工程与建筑学院
广州城市职业学院,城市建设工程系
广东水利电力职业技术学院,土木工程系
广东建设职业技术学院,土木工程系
贵州理工学院,经济管理学院
山东外国语职业技术大学,信息工程学院
广东理工职业学院,工程技术系
黑龙江东方学院,工程管理系
山东交通学院,交通土建工程学院
山东胜利职业学院,培训学院
山东胜利职业学院,储运与建筑工程学院
辽宁财贸学院,经济管理学院
吉林建筑大学,电气与计算机学院
山东交通职业学院,公路与建筑学院
山东科技职业学院/山东科技职业学院滨海校区/寿光市职业教育中心学校,建筑工程系
青岛理工大学,管理工程学院
义乌工商职业技术学院,工程造价
青岛酒店管理职业技术学院,酒店工程学院
烟台城乡建设学校,机电技术学院
郑州工商学院,工学院
山东水利职业学院,资源与环境系
青岛恒星科技学院,建筑学院
烟台大学,土木工程学院
青岛黄海学院,建筑工程学院
天津理工大学中环信息学院,经济管理系
黑龙江工程学院,土木工程管理学院
郑州工程技术学院,土木工程学院
长春建筑学院,管理学院
山西农业大学,建筑工程学院
黑龙江建筑职业技术学院,建筑工程技术系
吉林建筑科技学院,管理工程学院
黑龙江建筑职业技术学院,建设工程管理系
厦门理工学院,土木工程与建筑学院
西安航空学院,能源与建筑学院
嘉兴市建筑工业学校,工程造价专业
宁波第二技师学院,工程造价专业
山西工程科技职业大学,建筑工程学院
郑州大学,管理工程学院
山西财经大学,管理科学与工程学院
焦作工贸职业学院,建筑工程系
郑州升达经贸管理学院,建筑工程学院
郑州航空工业管理学院,土木建筑学院
山西工程科技职业大学,工程管理学院
天津城市建设管理职业技术学院,经济管理系
四川航天职业技术学院,管理工程系
山西工程职业学院,建筑与测绘系
吉林建筑大学,土木工程学院
大连财经学院,工商管理学院
山西工程技术学院,土木工程学院
重庆三峡学院,土木工程学院
北京林业大学,水土保持学院土木学科
天津仁爱学院,经济管理学院
陕西省建筑材料工业学校,土木工程部
哈尔滨石油学院,土木工程学院
空军工程大学,航空工程学院
齐齐哈尔工程学院,建筑工程系
山西铁道职业技术学院,土木建筑系
山西工商学院,建工学院
福州理工学院,土木学院
太原城市职业技术学院,工程经济系
山西水利职业技术学院,工程管理系
武汉东湖学院,经济学院
阳光学院,土木工程学院
三明学院,土木学院
重庆水利电力职业技术学院,建筑工程学院
重庆科创职业学院,建筑工程学院
北方工业大学,土木工程学院
重庆工商职业学院,城市建设工程学院
荆州职业技术学院,建筑工程系
河北科技师范学院,城市建设学院
西南石油大学,工程学院
重庆财经职业学院,应用技术系
重庆商务职业学院,财经管理学院
重庆电子工程职业学院,建筑与材料学院
成都锦城学院,土木与环境工程学院
西华大学,建筑与土木工程学院
天津农学院,水利学院
云南工商学院,建筑工程学院
山西省城乡建设学校,工民建
云南农业大学,工程管理系
昆明城市学院,数字与工程学院
云南工商管理学院,建筑工程学院
北京建筑大学,城市经济与管理学院
