,tenant_name,parent_name,tenant_level_cd,opening_time,region_cd,prvn_cd,isNormal
3544631959597008640,设备工程系,江苏城乡建设职业学院,ZK,2022,HD,320000,
3565462728704444160,管理工程系,安徽建筑大学城市建设学院,BK,2022,HD,340000,
3561515988766354432,建筑工程学院,成都艺术职业大学,ZK,2022,XN,510000,
3550410715548660992,工程管理学院,辽宁建筑职业学院,ZK,2022,DB,210000,
3517907537115482112,工程管理系,河南建筑职业技术学院,ZK,2021,HZ,410000,
3544668083983313664,建筑工程学院,南京交通职业技术学院,ZK,2022,HD,320000,
3534673265790891520,建筑工程系,河北建材职业技术学院,ZK,2022,HB,130000,
3547089180669722368,土木工程学院,长春建筑学院,BK,2022,DB,220000,
3539088412716152064,建工学院,山西工商学院,BK,2022,HB,140000,
3543132504529628416,土木工程学院,郑州工程技术学院,BK,2022,HZ,410000,
3506629661783447040,建筑化工系,唐山工业职业技术学院,ZK,2021,HB,130000,
3540911062102414848,土木建筑学院,郑州航空工业管理学院,BK,2022,HZ,410000,
3543014663512057344,管理学院,长春建筑学院,BK,2022,DB,220000,
3534690847239772928,农林工程系,唐山职业技术学院,ZK,2022,HB,130000,
3517018985688348160,土木工程学院,西安交通工程学院,BK,2021,XB,610000,
3501283092832942080,工程技术学院,云南工程职业学院,ZK,2021,XN,530000,
3550563762067692544,工程管理系,内蒙古鸿德文理学院,BK,2022,HB,150000,
3547804267538861056,建筑工程管理系,广东建设职业技术学院,ZK,2022,HN,440000,
3535160222743366400,城市建设学院,成都职业技术学院,ZK,2022,XN,510000,
3543014634004473856,建筑工程学院,大连职业技术学院,ZK,2022,DB,210000,
3535169937959953664,建筑工程学院,重庆工程职业技术学院,ZK,2022,XN,500000,
3542822185109398016,建筑工程技术系,黑龙江建筑职业技术学院,ZK,2022,DB,230000,
3544097042309376256,电气与计算机学院,吉林建筑大学,BK,2022,DB,220000,
3544504835008555520,土木工程系,广东水利电力职业技术学院,ZK,2022,HN,440000,yes
3537801668429178112,建筑与材料学院,重庆电子工程职业学院,ZK,2022,XN,500000,
3545021798747831808,建筑工程系,山东商务职业学院,ZK,2022,HD,370000,
3547031416093305600,建筑工程学院,河南应用技术职业学院,ZK,2022,HZ,410000,
3540932592775654912,建筑工程学院,郑州升达经贸管理学院,ZK,2022,HZ,410000,
3543887997661159936,工学院,郑州工商学院,ZK,2022,HZ,410000,
3537774476991216384,建筑与土木工程学院,西华大学,BK,2022,XN,510000,
3515486234269112576,建筑工程学院,昆明冶金高等专科学校,ZK,2021,XN,530000,
3541696469331051264,建筑工程学院,山西工程科技职业大学,BK,2022,HB,140000,
3501827660327595008,建筑工程系,邯郸职业技术学院,ZK,2021,HB,130000,yes
3569338428585256192,建筑工程系,湖北城市建设职业技术学院,ZK,2022,HZ,420000,
3561401699685990656,建筑工程学院,郑州工业应用技术学院,ZK,2022,HZ,410000,
3534690293748534528,建筑工程系,天津国土资源和房屋职业学院,ZK,2022,HB,120000,
3568585123532921600,土木工程学院,青岛城市学院,BK,2022,HD,370000,
3550552011037360384,土木工程学院,内蒙古科技大学,BK,2022,HB,150000,
3547037872988279296,"工程经济系
",河南财政金融学院,ZK,2022,HZ,410000,
3547031952965911296,建筑工程学院,黄淮学院,BK,2022,HZ,410000,
3501828146220493568,经济管理系,宁夏建设职业技术学院,ZK,2021,XB,640000,yes
3550554197173089536,工程管理学院,内蒙古建筑职业技术学院,ZK,2022,HB,150000,
3541280044889747712,建筑工程系,焦作工贸职业学院,ZK,2022,HZ,410000,
3502730810907005440,建筑工程学院,石家庄职业技术学院,ZK,2021,HB,130000,
3535224452386430720,建筑学院,燕京理工学院,BK,2022,HB,130000,
3560776577935586304,经济管理学院,石家庄铁道大学,BK,2022,HB,130000,
3551114469564049664,土木工程系,湛江科技学院,BK,2022,HN,440000,yes
3547219636005833472,建筑工程学院,淄博职业学院,ZK,2022,HD,370000,
3537774869984295168,经济与管理学院,天津城建大学,BK,2022,HB,120000,
3547398270139378688,建筑工程学院,徐州工业职业技术学院,ZK,2022,HD,320000,
3550563399143389952,建筑工程系,内蒙古农业大学职业技术学院,ZK,2022,HB,150000,
3550553252628678912,建筑工程学院,呼和浩特职业学院,ZK,2022,HB,150000,
3544069668921842944,管理工程学院,青岛理工大学,BK,2022,HD,370000,
3542821467849603328,管理工程学院,吉林建筑科技学院,BK,2022,DB,220000,
3574309215428068096,土木工程学院,重庆工程学院,BK,2022,XN,500000,
3569121101091609088,工程管理系,四川建筑职业技术学院,ZK,2022,XN,510000,
3544070011933976064,建筑工程系,山东科技职业学院/山东科技职业学院滨海校区/寿光市职业教育中心学校,ZK,2022,HD,370000,
3508259500286007552,建筑工程系,西安外事学院,ZK,2021,XB,610000,
3571514649857452032,建筑与环境艺术学院,湖北工程职业学院,ZK,2022,HZ,420000,
3569340575413394688,信息工程学院,武汉工程科技学院,BK,2022,HZ,420000,
3568616280715993344,工程管理学院,西安建筑科技大学华清学院,BK,2022,XB,610000,
3542626527318462720,建设工程管理系,黑龙江建筑职业技术学院,ZK,2022,DB,230000,
