,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3535525121016364032,9090,92,0,0,0,5,0,0,0,5,1,1,30,4,2022,8878,500000,4,0,19,3,other
3564140411354977024,6675,70,0,0,0,3,0,0,0,3,1,1,3,2,2022,8878,500000,2,0,17,3,other
3545028932690237696,9075,94,0,0,0,2,0,0,0,2,0,0,0,0,2022,6866,210000,1,0,12,3,other
3568616270636530688,6675,132,0,0,0,2,3,0,0,2,3,2,70,6,2022,8866,610000,4,0,19,3,other
3543887057651570432,6675,102,0,2,0,2,0,0,0,2,3,3,114,7,2022,7268,370000,1,0,28,3,other
3558402165517020672,6675,66,0,0,0,1,0,0,0,1,13,13,270,6,2022,8866,630000,1,0,28,3,other
3539132047436182272,9075,36,0,0,0,3,0,0,0,3,2,2,58,6,2022,7266,140000,0,0,51,3,other
3545544152084213504,6675,67,0,0,0,3,2,0,0,3,13,12,326,6,2022,7268,320000,2,0,17,3,other
3550598210201222656,6675,30,0,28,0,7,0,0,0,3,1,1,106,6,2022,7268,320000,1,0,14,3,other
3540763823625025536,6675,213,0,0,0,4,1,0,0,4,2,2,35,6,2022,6866,220000,2,0,23,3,other
3542821467849603328,6675,486,0,15,0,3,3,0,0,3,50,15,1331,6,2022,6866,220000,6,0,20,3,other
3547031952965911296,6675,363,0,0,0,4,1,0,0,4,22,12,494,6,2022,7290,410000,4,0,21,3,other
3569121101091609088,9075,572,0,0,0,5,6,0,0,4,40,20,452,6,2022,8878,510000,11,0,27,3,other
3558604946659315456,6675,15,0,0,0,4,0,0,0,4,0,0,0,0,2022,7268,360000,1,0,19,3,other
3544070011933976064,9075,397,0,0,0,3,1,0,0,3,12,3,444,6,2022,7268,370000,4,0,34,3,other
3543887545130997248,9075,81,0,0,0,2,1,0,0,2,2,1,70,6,2022,7268,370000,2,0,32,3,other
3568616280715993344,6675,253,0,0,0,2,3,0,0,2,10,1,350,6,2022,8866,610000,7,0,20,3,other
3576525851740953344,9075,100,0,0,0,4,1,0,0,4,3,3,10,5,2022,8878,520000,3,0,28,3,other
3572648632237109760,6675,181,0,0,0,1,0,0,0,1,1,1,3,2,2022,8866,620000,1,0,47,3,other
3545390747175455488,9075,80,0,0,0,2,1,0,0,2,7,6,180,6,2022,7268,320000,3,0,36,3,other
3576391475101289216,6675,167,0,0,0,3,0,0,0,2,2,1,6,2,2022,7290,430000,1,0,13,3,other
3536120522153117696,9075,47,0,0,0,4,0,0,0,3,3,3,59,6,2022,7290,420000,0,0,60,3,other
3544619134240625920,6675,205,0,6,0,4,0,0,0,4,12,12,295,6,2022,7268,370000,1,0,26,3,other
3539483303306195712,6675,129,0,0,0,3,0,0,0,3,1,1,36,6,2022,7266,120000,1,0,24,3,other
3547219636005833472,9075,248,0,0,0,3,0,0,0,3,0,0,0,0,2022,7268,370000,2,0,12,3,other
3554267097966908160,6675,17,0,0,0,2,0,0,0,2,0,0,35,6,2022,7278,440000,3,0,36,3,other
3547037872988279296,9075,391,0,0,0,4,4,0,0,4,8,4,182,6,2022,7290,410000,7,0,27,3,other
3544097136800075520,6675,162,0,0,0,2,0,0,0,2,7,2,229,6,2022,6866,220000,2,0,54,3,other
3576915323886128384,6675,51,0,0,0,2,0,0,0,2,1,1,3,2,2022,6866,230000,1,0,30,3,other
3568585123532921600,6675,445,0,0,0,6,6,0,0,2,6,3,35,6,2022,7268,370000,7,0,28,3,other
3564140744212774912,9075,221,0,0,0,4,10,0,0,4,6,5,155,6,2022,7278,450000,6,0,19,3,other
3537802935447782400,9075,156,0,0,0,5,1,0,0,5,41,20,473,6,2022,8878,500000,1,0,72,3,other
3547037095598956544,9075,75,0,16,0,1,0,0,0,1,4,2,266,6,2022,6866,210000,2,0,55,3,other
3501283092832942080,9075,452,0,3,0,4,0,2,0,4,38,13,585,6,2021,8878,530000,1,0,37,3,other
3540353087866773760,9075,151,0,0,0,4,7,0,0,4,22,20,340,6,2022,6866,210000,8,0,41,3,other
3550367552927840768,9075,130,0,0,0,2,2,0,0,1,3,2,70,6,2022,7290,410000,2,0,28,3,other
3551681302170111232,9075,78,0,7,0,2,1,0,0,2,47,16,946,6,2022,7278,440000,1,0,89,3,other
3549126582607550976,9075,105,0,0,0,2,0,0,0,2,2,1,70,6,2022,7268,340000,3,0,36,3,other
3550552011037360384,6675,306,0,0,0,2,5,0,0,2,9,6,135,6,2022,7266,150000,5,0,21,3,other
3541697588166219008,6675,179,0,0,0,1,0,0,0,1,0,0,0,0,2022,6866,210000,1,0,15,3,other
3512740278772526080,9075,72,0,0,0,5,0,3,0,4,24,13,402,6,2021,7266,110000,4,-1,31,3,other
3540353485153668608,6675,26,0,0,0,3,0,0,0,3,3,3,57,6,2022,6866,220000,1,0,25,3,other
3534690847239772928,9075,281,0,0,0,4,2,0,0,4,10,6,184,6,2022,7266,130000,3,0,50,3,other
3544622154189292032,6675,67,0,0,0,2,0,0,0,2,1,1,3,2,2022,7266,130000,1,0,42,3,other
3543014663512057344,6675,274,0,0,0,2,7,0,0,2,14,12,200,6,2022,6866,220000,8,0,25,3,other
3544668511917013760,6675,110,0,0,0,4,0,0,0,4,3,2,70,6,2022,7268,320000,5,0,30,3,other
3506629661783447040,9075,372,0,0,0,5,0,3,0,5,13,5,295,6,2021,7266,130000,2,0,51,3,other
3541883274636866816,6675,66,0,0,0,1,0,0,0,1,9,6,252,6,2022,8866,610000,1,0,33,3,other
3539523482721643520,6675,194,0,0,0,4,0,0,0,4,10,5,247,6,2022,8878,500000,1,0,23,3,other
3550553885790861056,9075,48,0,22,0,4,0,0,0,4,4,4,74,6,2022,7266,150000,0,0,43,3,other
3542627404047847168,9075,78,0,0,0,2,0,0,0,2,1,1,35,6,2022,7290,410000,2,0,36,3,other
3566765950630759936,9075,103,0,0,0,4,5,0,0,4,13,9,64,5,2022,7268,320000,2,0,48,3,other
3535005043427145472,6675,14,0,0,0,4,0,0,0,4,0,0,0,0,2022,7266,110000,0,0,12,3,other
3569371321588999168,6675,154,0,0,0,3,1,0,0,3,4,1,0,0,2022,7290,410000,2,0,18,3,other
3545927106987486208,9075,114,0,0,0,4,0,0,0,4,6,4,360,6,2022,7268,310000,4,0,46,3,other
3534673265790891520,9075,361,0,6,0,5,0,0,0,4,11,4,348,6,2022,7266,130000,5,0,37,3,other
3549066702171159552,6675,33,0,0,0,2,0,0,0,2,2,2,60,6,2022,7290,410000,1,0,28,3,other
3570439419174305280,9075,22,0,0,0,3,0,0,0,3,4,4,90,6,2022,7268,340000,2,0,31,3,other
3570081914687108352,9075,29,0,0,0,2,0,0,0,2,2,2,58,6,2022,6866,220000,1,0,20,3,other
3545034760373857536,6675,135,0,0,0,3,1,0,0,3,1,1,35,6,2022,7268,330000,4,0,15,3,other
3545360521344651008,6675,38,0,0,0,1,0,0,0,1,0,0,0,0,2022,7268,330000,1,0,14,3,other
3545579367108937216,6675,53,0,0,0,1,0,0,0,1,10,7,241,6,2022,6866,210000,3,0,33,3,other
3517907537115482112,9075,272,0,0,0,5,0,3,0,4,2,1,62,6,2021,7290,410000,2,0,18,3,other
