,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3536321009076468480,9075,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,8878,510000,0,0,100,0,train
3560992367738357760,6675,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7268,320000,1,0,100,0,train
3572270385861174016,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,350000,1,0,100,0,train
3549810880069533696,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,340000,1,0,100,0,train
3539453786141158656,9075,143,0,0,0,5,1,0,0,3,14,2,444,6,2022,8866,610000,5,0,31,1,train
3569900472298763776,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,420000,0,0,100,0,train
3573247994923858944,9075,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,7268,320000,2,0,100,0,train
3577696578438479104,6675,0,0,0,0,6,0,0,0,3,0,0,0,0,2022,7268,320000,1,0,100,0,train
3568560355950269952,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,8866,620000,2,0,100,0,train
3561000130982688768,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,430000,2,0,100,0,train
3563355027100545536,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,430000,1,0,100,0,train
3563554925707705856,6675,2,0,0,0,3,0,0,0,3,0,0,35,6,2022,7268,340000,1,0,13,0,train
3549639144004042752,6675,22,0,0,0,2,0,0,0,2,16,14,313,6,2022,7266,110000,1,0,55,0,train
3570660359387744000,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,350000,0,0,100,0,train
3548140766902847488,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,420000,1,0,100,0,train
3551118951361651712,9075,0,0,0,0,1,1,0,0,1,0,0,0,0,2022,7290,430000,3,0,13,0,train
3561540014722475008,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,8878,510000,1,0,100,0,train
3565863124793258752,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7278,450000,1,0,100,0,train
3539811473163606272,9075,0,0,0,0,4,0,0,0,4,0,0,0,0,2022,7266,140000,2,0,13,0,train
3559709119558151936,6675,0,0,0,0,5,0,0,0,4,0,0,0,0,2022,8878,510000,2,0,100,0,train
3550985506727041792,9075,0,0,0,0,4,0,0,0,4,0,0,0,0,2022,7268,360000,1,0,9,0,train
3534797242169829888,9075,19,0,0,0,6,4,0,0,6,11,6,185,6,2022,7266,120000,4,0,48,0,train
3539085116884225792,9075,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,7266,140000,0,0,100,0,train
3573993793027761664,9090,0,0,0,0,2,0,0,0,1,0,0,0,0,2022,8866,610000,1,0,100,0,train
3539084635851499520,9075,0,0,0,0,3,0,0,0,3,2,2,58,6,2022,7266,140000,0,0,28,0,train
3544668083983313664,9075,259,0,9,0,4,3,0,0,4,24,9,553,6,2022,7268,320000,10,0,48,1,train
